sample_id,type,case_id,industry_tag,keyword,score,mismatch_tag,note
1,transaction,0,,打折的金蝶商品价格表,,,
2,transaction,4,,打折的海底捞商品报价单,,,
3,function,4,industrial,高精度的西装品牌推荐,,,
4,decision,0,,值得选的用友方案怎么选,,,
5,function,2,building_material,北京耐用的全屋净水型号哪款好,,,
6,qa,3,,用友安装方法,,,
7,decision,2,,上海推荐的小米服务选购攻略,,,
8,comparison,0,,小米相比三星优缺点对比,,,
9,qa,3,,用友使用方法,,,
10,decision,2,,北京适合的小米服务选择指南,,,
11,function,2,building_material,北京环保的全屋净水厂家有哪些,,,
12,comparison,4,,苹果和华为有什么不同,,,
13,function,2,building_material,北京环保的全屋净水品牌哪款好,,,
14,comparison,0,,华为和三星区别是什么,,,
15,decision,3,,华为如何选择,,,
16,function,4,industrial,高质量的西装厂家什么牌子好,,,
17,transaction,1,,打折的钉钉商品收费标准,,,
18,comparison,1,,钉钉对比企业微信对比分析,,,
19,decision,4,,值得选的星巴克方案避坑指南,,,
20,function,0,appliance,高质量的数控机床厂家有哪些,,,
21,qa,2,,国产小米安装方法,,,
22,transaction,0,,便宜的金蝶服务收费标准,,,
23,comparison,0,,小米比较三星有什么不同,,,
24,brand,1,,口碑好的华为公司老牌子有哪些,,,
25,function,2,building_material,北京耐用的全屋净水品牌哪个好,,,
26,function,1,door_window,耐用的防盗门品牌推荐,,,
27,qa,0,,最新款金蝶使用方法,,,
28,qa,3,,用友怎么用,,,
29,function,0,appliance,耐用的数控机床型号有哪些,,,
30,brand,0,,排名前十的华为厂家品牌有哪些,,,
31,transaction,2,,北京特价钉钉套餐怎么收费,,,
32,transaction,4,,实惠的海底捞服务价格表,,,
33,brand,4,,排名前十的海底捞厂家老牌子有哪些,,,
34,brand,0,,口碑好的华为品牌是什么,,,
35,decision,2,,上海值得选的小米服务避坑指南,,,
36,function,1,door_window,高质量的防盗门厂家有哪些,,,
37,transaction,4,,打折的海底捞商品最新价格,,,
38,decision,0,,合适的用友产品选购攻略,,,
39,function,3,fmcg,数控机床推荐,,,
40,brand,2,,知名的小米公司介绍,,,
41,qa,1,,国产小米怎么用,,,
42,comparison,0,,华为对比三星对比分析,,,
43,transaction,1,,便宜的钉钉服务怎么收费,,,
44,qa,2,,进口小米安装方法,,,
45,comparison,4,,苹果与华为哪个更好,,,
46,decision,2,,北京推荐的小米方案避坑指南,,,
47,brand,2,,领先的小米品牌介绍,,,
48,transaction,0,,实惠的金蝶商品怎么收费,,,
49,transaction,1,,便宜的飞书商品收费标准,,,
50,transaction,0,,实惠的金蝶商品报价单,,,
51,brand,0,,排名前十的华为品牌老牌子有哪些,,,
52,function,0,appliance,耐用的数控机床型号选什么,,,
53,brand,0,,知名的华为公司是什么,,,
54,qa,4,,高品质用友使用方法,,,
55,function,4,industrial,结实的西装厂家推荐一下,,,
56,brand,1,,知名的金蝶厂家介绍,,,
57,qa,1,,新款用友使用教程,,,
58,qa,4,,国产用友安装方法,,,
59,decision,3,,华为怎么选,,,
60,function,3,fmcg,数控机床哪款好,,,
61,comparison,2,,特斯拉对比蔚来区别是什么,,,
62,function,1,door_window,结实的防盗门厂家推荐,,,
63,brand,2,,口碑好的小米公司老牌子有哪些,,,
64,transaction,2,,北京实惠的钉钉商品收费标准,,,
65,comparison,3,,海尔和美的哪个更好,,,
66,qa,4,,高品质用友使用教程,,,
67,qa,0,,高品质金蝶怎么保养,,,
68,transaction,2,,北京优惠的钉钉服务多少钱,,,
69,decision,0,,推荐的用友产品怎么选,,,
70,decision,1,,合适的星巴克产品怎么选,,,
71,qa,1,,进口小米安装方法,,,
72,qa,2,,最新款小米使用教程,,,
73,function,3,fmcg,数控机床哪个好,,,
74,transaction,3,,用友多少钱,,,
75,comparison,2,,比亚迪与蔚来有什么不同,,,
76,decision,1,,适合的星巴克方案选购攻略,,,
77,transaction,2,,上海便宜的钉钉服务怎么收费,,,
78,brand,1,,排名前十的金蝶品牌品牌有哪些,,,
79,transaction,3,,用友收费标准,,,
80,function,4,industrial,结实的西装品牌选什么,,,
81,brand,4,,口碑好的海底捞品牌品牌有哪些,,,
82,comparison,2,,比亚迪VS蔚来对比分析,,,
83,decision,4,,适合的星巴克服务选择指南,,,
84,comparison,1,,钉钉相比企业微信哪个更好,,,
85,comparison,1,,钉钉VS企业微信哪个更好,,,
86,comparison,4,,苹果比较华为优缺点对比,,,
87,decision,4,,推荐的星巴克方案选择标准,,,
88,decision,1,,值得选的星巴克服务选购攻略,,,
89,brand,2,,知名的小米公司怎么样,,,
90,brand,3,,蓝凌怎么样,,,
91,qa,1,,国产小米怎么保养,,,
92,qa,0,,进口金蝶怎么用,,,
93,brand,3,,蓝凌品牌有哪些,,,
94,brand,3,,蓝凌老牌子有哪些,,,
95,qa,4,,新款用友怎么用,,,
96,comparison,2,,比亚迪相比蔚来对比分析,,,
97,brand,4,,头部海底捞品牌是什么,,,
98,decision,1,,值得选的钉钉服务避坑指南,,,
99,comparison,4,,苹果比较华为哪个更好,,,
100,transaction,3,,用友价格表,,,
101,decision,3,,华为选择指南,,,
102,comparison,1,,钉钉和飞书哪个更好,,,
